code	additives_en
27083	E1422 - Acetylated distarch adipate
27083	E450 - Diphosphates
27083	E472b - Lactic acid esters of mono- and diglycerides of fatty acids
27083	E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids
27083	E475 - Polyglycerol esters of fatty acids
27083	E481 - Sodium stearoyl-2-lactylate
50913	E160a - Alpha-carotene
50913	E170 - Calcium carbonate
50913	E322 - Lecithins
50913	E322i - Lecithin
50913	E330 - Citric acid
50913	E375 - Nicotinic acid
50913	E450 - Diphosphates
50913	E500 - Sodium carbonates
50913	E500ii - Sodium hydrogen carbonate
50913	E503 - Ammonium carbonates
56434	E202 - Potassium sorbate
56434	E330 - Citric acid
56434	E331 - Sodium citrates
56434	E331iii - Trisodium citrate
56434	E955 - Sucralose
290616	
394710	E1100 - Alpha-Amylase
394710	E170 - Calcium carbonate
394710	E202 - Potassium sorbate
394710	E203 - Calcium sorbate
394710	E300 - Ascorbic acid
394710	E330 - Citric acid
394710	E406 - Agar
394710	E410 - Locust bean gum
394710	E420 - Sorbitol
394710	E420i - Sorbitol
394710	E440 - Pectins
394710	E440i - Pectin
673358	E170 - Calcium carbonate
673358	E270 - Lactic acid
673358	E296 - Malic acid
673358	E330 - Citric acid
1798180	
1938067	E202 - Potassium sorbate
1938067	E211 - Sodium benzoate
1938067	E330 - Citric acid
1938067	E509 - Calcium chloride
1938067	E920 - L-cysteine hydrochloride
4302544	
5200016	
7020254	E150 - Caramel
7020254	E211 - Sodium benzoate
7020254	E999 - Quillaia extract
7730009	E1400 - Dextrin
7730009	E322 - Lecithins
7730009	E503 - Ammonium carbonates
8237798	E235 - Natamycin
8237798	E316 - Sodium erythorbate
8237798	E407 - Carrageenan
10090206	
10127735	E131 - Patent blue v
10127735	E171 - Titanium dioxide
10127735	E211 - Sodium benzoate
10127735	E330 - Citric acid
20004552	
20424640	E322 - Lecithins
20424640	E420 - Sorbitol
20424640	E420i - Sorbitol
20424640	E422 - Glycerol
27533024	E163 - Anthocyanins
27533024	E170 - Calcium carbonate
27533024	E330 - Citric acid
27533024	E375 - Nicotinic acid
40608754	E150d - Sulphite ammonia caramel
40608754	E338 - Phosphoric acid
50985098	E325 - Sodium lactate
50985098	E332 - Potassium citrates
54491472	E150d - Sulphite ammonia caramel
54491472	E338 - Phosphoric acid
54491496	E150d - Sulphite ammonia caramel
54491496	E330 - Citric acid
54491496	E338 - Phosphoric acid
54491496	E950 - Acesulfame k
75001629	
80007838	
80135876	
84154071	
87177756	E296 - Malic acid
87177756	E330 - Citric acid
87177756	E331 - Sodium citrates
93718738	E160c - Paprika extract
93718738	E223 - Sodium metabisulphite
93718738	E415 - Xanthan gum
204286484	
2929	
30	E422 - Glycerol
30	E450 - Diphosphates
30	E471 - Mono- and diglycerides of fatty acids
30	E500 - Sodium carbonates
30	E503 - Ammonium carbonates
31	E120 - Cochineal
31	E133 - Brilliant blue FCF
31	E150a - Plain caramel
31	E202 - Potassium sorbate
31	E220 - Sulphur dioxide
31	E330 - Citric acid
31	E422 - Glycerol
31	E450 - Diphosphates
31	E471 - Mono- and diglycerides of fatty acids
31	E500 - Sodium carbonates
31	E503 - Ammonium carbonates
3100	E120 - Cochineal
3100	E150c - Ammonia caramel
3100	E263 - Calcium acetate
3100	E316 - Sodium erythorbate
3100	E326 - Potassium lactate
3100	E621 - Monosodium glutamate
460938714	
470322800	
50	E422 - Glycerol
50	E450 - Diphosphates
50	E500 - Sodium carbonates
51	E100 - Curcumin
51	E330 - Citric acid
51	E332 - Potassium citrates
51	E341 - Calcium phosphates
51	E401 - Sodium alginate
51	E422 - Glycerol
51	E450 - Diphosphates
51	E500 - Sodium carbonates
526938306	
790310013	E102 - Tartrazine
790310013	E110 - Sunset yellow FCF
790310013	E129 - Allura red ac
790310013	E133 - Brilliant blue FCF
790310013	E297 - Fumaric acid
790310013	E330 - Citric acid
790310013	E334 – L
790310013	E420 - Sorbitol
790310013	E420i - Sorbitol
790310013	E428 - Gelatine
790310013	E551 - Silicon dioxide
790310020	E102 - Tartrazine
790310020	E110 - Sunset yellow FCF
790310020	E129 - Allura red ac
790310020	E133 - Brilliant blue FCF
790310020	E331 - Sodium citrates
790310020	E903 - Carnauba wax
790310020	E905a - Mineral oil
104	E202 - Potassium sorbate
104	E330 - Citric acid
104	E331 - Sodium citrates
104	E422 - Glycerol
104	E440 - Pectins
104	E450 - Diphosphates
104	E471 - Mono- and diglycerides of fatty acids
104	E500 - Sodium carbonates
104	E503 - Ammonium carbonates
11501	E428 - Gelatine
11679	E170 - Calcium carbonate
11679	E375 - Nicotinic acid
11679	E450 - Diphosphates
11679	E500 - Sodium carbonates
11679	E500ii - Sodium hydrogen carbonate
11679	E503 - Ammonium carbonates
11686	E170 - Calcium carbonate
11686	E375 - Nicotinic acid
11686	E450 - Diphosphates
11686	E500 - Sodium carbonates
11686	E500ii - Sodium hydrogen carbonate
11686	E503 - Ammonium carbonates
11693	E170 - Calcium carbonate
11693	E322 - Lecithins
11693	E322i - Lecithin
11693	E375 - Nicotinic acid
11693	E450 - Diphosphates
11693	E500 - Sodium carbonates
11693	E500ii - Sodium hydrogen carbonate
11709	E220 - Sulphur dioxide
11709	E450 - Diphosphates
11709	E500 - Sodium carbonates
11709	E500ii - Sodium hydrogen carbonate
11709	E503 - Ammonium carbonates
11730	E330 - Citric acid
11730	E450 - Diphosphates
11730	E500 - Sodium carbonates
11730	E500ii - Sodium hydrogen carbonate
11730	E503 - Ammonium carbonates
11754	E170 - Calcium carbonate
11754	E375 - Nicotinic acid
11754	E450 - Diphosphates
11754	E500 - Sodium carbonates
11754	E500ii - Sodium hydrogen carbonate
11754	E503 - Ammonium carbonates
11778	E170 - Calcium carbonate
11778	E322 - Lecithins
11778	E322i - Lecithin
11778	E375 - Nicotinic acid
11778	E450 - Diphosphates
11778	E500 - Sodium carbonates
11778	E500ii - Sodium hydrogen carbonate
11778	E503 - Ammonium carbonates
11815	E170 - Calcium carbonate
11815	E375 - Nicotinic acid
11815	E450 - Diphosphates
11815	E500 - Sodium carbonates
11815	E500ii - Sodium hydrogen carbonate
11815	E503 - Ammonium carbonates
12444	E407 - Carrageenan
12444	E412 - Guar gum
12444	E471 - Mono- and diglycerides of fatty acids
13029	E160a - Alpha-carotene
13029	E160ai - Beta-carotene
13029	E160c - Paprika extract
13029	E322 - Lecithins
13029	E322i - Lecithin
13029	E330 - Citric acid
13029	E331 - Sodium citrates
14472	
16063	E415 - Xanthan gum
18097	
18166	E450 - Diphosphates
18166	E500 - Sodium carbonates
18166	E500ii - Sodium hydrogen carbonate
18166	E502 - Carbonates
19170	
2042861915	
227	E202 - Potassium sorbate
227	E322 - Lecithins
227	E422 - Glycerol
227	E440 - Pectins
227	E450 - Diphosphates
227	E471 - Mono- and diglycerides of fatty acids
227	E500 - Sodium carbonates
227	E503 - Ammonium carbonates
23092	E375 - Nicotinic acid
23092	E450 - Diphosphates
23092	E500 - Sodium carbonates
23092	E500ii - Sodium hydrogen carbonate
24679	E290 - Carbon dioxide
25157	
25751	
28264	E220 - Sulphur dioxide
28264	E415 - Xanthan gum
28264	E450 - Diphosphates
28264	E500 - Sodium carbonates
28264	E500ii - Sodium hydrogen carbonate
2983542515	
31858	E160a - Alpha-carotene
31858	E160ai - Beta-carotene
33046	
36559	E101 - Riboflavin
36559	E101i - Riboflavin
36559	E160a - Alpha-carotene
36559	E160b - Annatto
36559	E375 - Nicotinic acid
36559	E509 - Calcium chloride
41500007007	
43366	
4394	
53327	E170 - Calcium carbonate
53327	E375 - Nicotinic acid
64491	
65269	E170 - Calcium carbonate
65269	E322 - Lecithins
65269	E322i - Lecithin
65269	E375 - Nicotinic acid
65269	E422 - Glycerol
65269	E450 - Diphosphates
65269	E500 - Sodium carbonates
65269	E500ii - Sodium hydrogen carbonate
68789	E334 - L
71093	E322 - Lecithins
71093	E322i - Lecithin
71185	
73455	E330 - Citric acid
73455	E440 - Pectins
73455	E440i - Pectin
73899	
74742	E330 - Citric acid
74742	E331 - Sodium citrates
74742	E440 - Pectins
74742	E440i - Pectin
76630	
78115	
8274000078	
8295616241	E150d - Sulphite ammonia caramel
8295616241	E224 - Potassium metabisulphite
88862	E170 - Calcium carbonate
88862	E375 - Nicotinic acid
88978	
90100	E250 - Sodium nitrite
90100	E252 - Potassium nitrate
90100	E301 - Sodium ascorbate
90100	E428 - Gelatine
9073102963	E440 - Pectins
9073102963	E440i - Pectin
9138378043	E102 - Tartrazine
9138378043	E110 - Sunset yellow FCF
9138378043	E129 - Allura red ac
9138378043	E133 - Brilliant blue FCF
9138378043	E330 - Citric acid
9300003346	E102 - Tartrazine
9300003346	E211 - Sodium benzoate
9300003346	E224 - Potassium metabisulphite
