code	ingredients_text
27083	pasteurized free range egg
27083	sugar
27083	blueberries 
27083	rapeseed oil
27083	potato starch
27083	water
27083	cornflour
27083	thickener
27083	palm oil
27083	dried whey 
27083	milk
27083	raising agent
27083	 sodium bicarbonate
27083	 emulsifier
27083	flavoring
27083	dried glucose syrup
27083	dried skimmed milk
27083	stabiliser
27083	 xanthan gum
27083	salt
50913	milk chocolate 
50913	sugar
50913	 cocoa butter
50913	 dried whole milk
50913	 cocoa mass
50913	 dried whey 
50913	milk
50913	 dried skimmed milk
50913	 emulsifier: soya lecithin
50913	 dark chocolate 
50913	sugar
50913	 cocoa mass
50913	 cocoa butter
50913	 butter oil 
50913	milk
50913	 emulsifier: soya lecithin
50913	 vanilla flavouring
50913	 wheatflour contains gluten 
50913	with wheatflour
50913	 calcium carbonate
50913	 iron
50913	 niacin
50913	 thiamin
50913	 white chocolate 
50913	sugar
50913	 cocoa butter
50913	 dried skimmed milk
50913	 butter oil 
50913	milk
50913	 dried whole milk
50913	 emulsifier: soya lecithin
50913	 vanilla flavouring
50913	 sugar
50913	 palm oil
50913	 butter 
50913	milk
50913	 palm kernel oil
50913	 palm fat
50913	 cocoa powder
50913	 partially inverted sugar syrup
50913	 glucose syrup
50913	 cornflour
50913	 dried skimmed milk
50913	 dried whole milk
50913	 oatmeal 
50913	contains gluten
50913	 salt
50913	 ginger
50913	 raising agent: sodium bicarbonate
50913	 dextrose
50913	 cocoa mass
50913	 emulsifier: soya lecithin
50913	 ground ginger
50913	 pasteurised free range egg
50913	 flavourings
50913	 orange peel
50913	 molasses
50913	 lemon peel
50913	 colour: carotenes
50913	 acidity regulator: citric acid
56434	carbonated  water
56434	 acid: citric acid
56434	 flavourings
56434	 acidity regular: trisodium citrate
56434	 sweetener: sucralose
56434	 preservative: potassium sorbate
290616	INGREDIENTS : LAITUE
290616	 VINAIGRETTE 
290616	HUILE DE CANOLA
290616	 EAU
290616	 AIL
290616	 JAUNE D'OEUF CONGELE
290616	 FROMAGE PARMESAN
290616	 JUS DE CITRON CONCENTRE
290616	 SEL
290616	 PATE D'ANCHOIS
290616	 ASSAISONNEMENTS
290616	 GOMME XANTHANE
290616	 FROMAGE PARMESAN
290616	 CROUTONS 
290616	FARINE
290616	 FARINE DE BLE ENTIER
290616	 HUILE DE PALME
290616	 EAU
290616	 GLUCOSE—FRUCTOSE
290616	 FARINE DE SEIGLE
290616	 SEL
290616	 GLUTEN DE BLE
290616	 CARAMEL
290616	 MELASSE OUALITE FANTAISIE
290616	 POUDRE DE LACTOSERUM
290616	 MALTODEXTRINE
290616	 CARVI
290616	 LEVURE
290616	 VINAIGRE
290616	 SUCRE
290616	 POUDRE D'AIL
290616	 LEVAIN DE SEIGLE
290616	  PERSIL
290616	 ACIDE ASCORBIQUE
290616	 PHOSPHATE MONOCALCIQUE
290616	 SULFATE D'AMMONIUM
290616	 SULFATE DE CALCIUM
290616	 CITRON
394710	Ingrédients: Pâte 
394710	farine
394710	 eau
394710	 beurre
394710	 sucre
394710	 cassonade
394710	 levure
394710	 lactosérum en poudre
394710	 oeufs entiers liquides
394710	 sel
394710	 farine de gluten
394710	 huile de Soya
394710	 esters tartriques des mono et disglycérides acetyles
394710	 carbonate de calcium
394710	 acide ascorbique
394710	 amylase
394710	 arôme artificiel
394710	 GARNITURE : 
394710	sucre
394710	 substances laitières modifiées
394710	 farine
394710	 épices
394710	 farine de Pomme de terre modifiée
394710	 amidon de maïs modifié
394710	 huile végétale
394710	 poudre d'œuf
394710	 cacao
394710	 poudre à pâte
394710	 sel
394710	  dextrose
394710	 arginate de sodium
394710	 sorbate de calcium
394710	 sorbitol
394710	 sirop de maïs
394710	 sel
394710	 pectine
394710	 sorbate de potassium
394710	 gomme de caroube
