code	categories
27083	
50913	
56434	
290616	Légumes-feuilles
394710	Snacks sucrés
394710	Biscuits et gâteaux
394710	Pâtisseries
673358	
1798180	
1938067	Snacks sucrés
1938067	Biscuits et gâteaux
1938067	Pâtisseries
4302544	Boulange
5200016	Aliments et boissons à base de végétaux
5200016	Aliments d'origine végétale
5200016	Légumineuses et dérivés
5200016	Céréales et pommes de terre
5200016	Légumineuses
5200016	Graines
5200016	Graines de légumineuses
5200016	Légumes secs
5200016	Lentilles vertes
7020254	Boissons
7020254	Boissons gazeuses
7020254	Sodas
7020254	Boissons sucrées
7020254	Root Beers
7730009	Snacks sucrés
7730009	Biscuits et gâteaux
7730009	Biscuits
7730009	Sablés
8237798	Quiches lorraines
10090206	Aliments et boissons à base de végétaux
10090206	Boissons
10090206	Aliments d'origine végétale
10090206	Boissons chaudes
10090206	Infusions
10090206	Thés
10090206	Thés noirs
10090206	Boissons non sucrées
10090206	Thés noirs aromatisés
10090206	Thés aromatisés
10127735	Sirops
10127735	Sirops pour ganache
20004552	Boissons
20004552	Boissons alcoolisées
20004552	Vins
20004552	Vins français
20004552	Vins rouges
20004552	Côtes du Rhône
20004552	Côtes du Rhône Villages
20424640	Pralinen
27533024	Desserts
27533024	Christmas Puddings
27533024	Puddings
40608754	Sodas au cola
50985098	
54491472	
54491496	
75001629	
80007838	
80135876	
84154071	Comestibles
84154071	Condimentos
84154071	Salsas
84154071	Salsas de mostaza
87177756	Sodas au citron
87177756	Boissons sucrées
204286484	Proteinpulver
2929	Flat Parsley
2929	Parsley
2929	Herbs
30	Cakes aux raisins
30	Cakes
30	Gâteaux
31	Snacks sucrés
31	Desserts
31	Biscuits et gâteaux
31	Gâteaux
31	Pâtisseries
31	Cakes aux fruits
3100	Viandes de porc
460938714	Proteinpulver
470322800	Proteinpulver
50	Snacks sucrés
50	Biscuits et gâteaux
50	Desserts
50	Gâteaux
50	Pâtisseries
50	Financiers
51	Snacks sucrés
51	Biscuits et gâteaux
51	Desserts
51	Gâteaux
51	Pâtisseries
51	Gâteaux au citron
526938306	Proteinpulver
790310013	Sugary snacks
790310013	Confectioneries
790310013	Candies
790310020	Sugary snacks
790310020	Confectioneries
790310020	Candies
104	Gâteaux
104	Goûters individuels
11501	Aliments et boissons à base de végétaux
11501	Aliments d'origine végétale
11501	Epicerie
11501	Condiments
11501	Plantes condimentaires
11501	Plantes aromatiques
11501	Herbes aromatiques
11501	Menthe
11501	Bonbons à la menthe
11679	Cookies au chocolat
11686	Cookies
11686	Cookies au raisin
11693	Snacks sucrés
11693	Biscuits et gâteaux
11693	Biscuits
11693	Cookies
11709	Cookies
11709	Cookies au raisin
11730	Cookies
11754	Snacks sucrés
11754	Biscuits et gâteaux
11754	Biscuits
11754	Cookies
11778	Cookies
11815	Cookies
12444	Sundaes
12444	Glaces
12444	Crèmes glacées
13029	Produits laitiers
13029	Fromages
13029	Fromages du Royaume-Uni
13029	Fromages de vache
13029	Fromages d'Angleterre
13029	Cheddars
13029	Cheddar en tranches
14472	
16063	Chowders
16063	Soups
18097	Aliments et boissons à base de végétaux
18097	Aliments d'origine végétale
18097	Frais
18097	Aliments à base de fruits et de légumes
18097	Aliments à base de plantes frais
18097	Légumes et dérivés
18097	Légumes frais
18097	Légumes-feuilles
18097	Salades
18097	Salade Iceberg
18166	Crumpets
18166	Petit-déjeuners
19170	Plant-based foods and beverages
19170	Plant-based foods
19170	Fruits and vegetables based foods
19170	Vegetables based foods
19170	Fresh foods
