tipo embalagem	mateiral
Frais	
Frais	
Frais	
Frais	plastique
Sachet plastique	
Canette	Métal
Carton	boîte
Frai	
aluminium	
Bouteille	Carton
Bouteille	Verre
Bouteille	71
Bouteille	Verre
21 PAP	
bowl	plastic
Canette	aluminium
Bote	plastico
Canette	
bucket	
film	 plastic
boîte	carton
sachet	plastique
Boîte	Carton
Sachet	Plastique
Barquette	Plastique
bucket	
can	
Sachet	Plastique
Boîte carton	carton
Sachet	Plastique
Boîte carton	carton
bag	
Boîte	Carton
Boîte	Plastique
box	metal
Sachet	Plastique
Sachet	Plastique
Sachet	plastique
Sachet	papier
sachet	plastique
Sachet	Plastique
barquette	plastique
plastique	
Carton	
Plastique	Carton
Frais	Carton
Frais	Plastique
Tin	
Frais	Plastique
Sachet	Carton
Sachet	Plastique
film	plastic
bucket	
Sachet	Plastique
Boîte	carton
Sachet	Plastique
Bouteille	Verre
Box	
Barquette	plastique
boîte	Carton
bucket	
Brique	Carton
 film 	plastic
tray 	plastic
box	
Frais	plastique
label	plastic
bag	paper
Bottle	Plastic
Bottle	carton
Sachet	plastique
	Plastique
Boîte	Plastique
	Plastique
barquette	plastique
Frais	Plastique
Jar	Glass
Barquette wrap	Plastic
Frais	Plastique
Bottle	Glass
Bouteille	
Bag	Paper
	Plastique
	Carton
	Plastique
Plastic	
jar	Glass
jar	Glass
Card	
Box	
Pot	
	Plastic
sachet	
Pot	Verre
Boîte	Carton
Boîte	plastique
Frais	Plastique
	plastic
Card	
box	
card	
	
pot	plastic
Bag	Plastic
Bag	Plastic
	
Bag	Plastic
