code	id_local
27083	1
50913	1
56434	1
290616	2
394710	2
673358	1
1798180	1
1938067	2
4302544	2
5200016	3
7020254	3
7730009	3
8237798	2
10090206	3
10127735	3
20004552	3
20424640	4
27533024	1
40608754	3
50985098	1
54491472	1
54491496	1
75001629	1
80007838	5
80135876	6
84154071	7
87177756	3
93718738	8
204286484	4
2929	1
30	3
31	3
3100	3
460938714	4
470322800	4
50	3
51	3
526938306	4
790310013	4
790310020	4
104	3
11501	3
11501	1
11679	3
11686	3
11693	3
11693	1
11709	3
11709	1
11730	3
11730	1
11754	9
11754	3
11754	10
11754	1
11778	9
11778	3
11778	10
11778	1
11815	3
11815	1
12444	3
13029	3
14472	11
16063	11
18097	3
18166	3
18166	1
19170	1
2042861915	4
227	3
23092	3
24679	3
25157	11
25751	3
25751	1
28264	3
2983542515	4
31858	3
33046	1
36559	11
41500007007	11
43366	3
4394	1
53327	1
64491	1
65269	3
68789	3
68789	1
71093	3
71093	1
71185	3
71185	1
73455	1
73455	3
73899	11
74742	3
76630	1
78115	3
78115	1
8274000078	11
8295616241	11
88862	11
88978	11
90100	11
9073102963	11
9138378043	2
9138378043	3
9138378043	12
9138378043	11
9300003346	11
9300128896	3
9300128896	11
9542018054	3
9542018061	3
9542018061	1
9542018085	1
9800801107	11
9800892204	11
9800892204	11
9800892204	11
9800892204	11
9800895007	11
9800895250	11
99233	11
99332	
104456	
10700021526	
10700024404	
10700088130	
10852997489	
11110001207	
11110001986	
11110019516	
11110020109	
